City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
627,Oytal,KZ,78.76,broken clouds,42.9057,73.2697,Sanatorium Ak-Niet
629,Susaki,JP,76.35,overcast clouds,33.3667,133.2833,Awa
631,Wajima,JP,78.94,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
640,Sungai Padi,TH,79.72,overcast clouds,6.0851,101.8766,237บอล&บาส
643,West Bay,KY,89.67,few clouds,19.3667,-81.4167,Calypso Cove
644,Puri,IN,84.38,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
646,Kafanchan,NG,76.17,light rain,9.5833,8.3,Sir Joe guest Inn
647,Galle,LK,80.11,overcast clouds,6.0367,80.217,Amangalla
650,Chanhassen,US,77.02,smoke,44.8622,-93.5308,"Country Inn & Suites by Radisson, Chanhassen, MN"
657,Muisne,EC,84.31,overcast clouds,0.6,-80.0333,Quinta Samay
659,Consolacion Del Sur,CU,89.94,clear sky,22.5047,-83.5136,Cuarto de alquiler
661,Batticaloa,LK,83.86,overcast clouds,7.7102,81.6924,Grand Star Guest House
669,Dhidhdhoo,MV,83.21,overcast clouds,6.8833,73.1,Dhidhoo beach
670,Vila Franca Do Campo,PT,75.61,clear sky,37.7167,-25.4333,Pestana Bahia Praia
671,Banda Aceh,ID,79.83,overcast clouds,5.5577,95.3222,Sulthan Hotel International
672,Vinh,VN,80.01,light rain,18.6667,105.6667,Khách Sạn Thương Mại
674,Pathein,MM,77.02,light rain,16.7833,94.7333,New Pammawaddy Hotel
675,La Romana,DO,89.96,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
676,Soc Trang,VN,78.76,scattered clouds,9.6033,105.98,Phu Quy Hotel
678,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
682,Canico,PT,79.72,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
688,Domoni,KM,75.51,few clouds,-12.2569,44.5319,Al Djadid
694,Acarau,BR,89.02,broken clouds,-2.8856,-40.12,castelo pizzaria
695,Cotonou,BJ,80.51,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
697,Sao Joao De Pirabas,BR,88.32,scattered clouds,-0.7747,-47.1772,POUSADA SOL E MAR
701,Socorro,US,86.9,broken clouds,31.6546,-106.3033,guarderia imss papalote
